mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.49375104904174805,0.01666535054573338,0.022562503814697266,0.0026034952153684158,0.8,0.0,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.0,0.02880658436213992,0.08888888888888889,0.0392318244170096,0.037029923617047454,613,0.9478672985781991,0.7105538140020898,0.7069943289224953,0.7884718138342613,0.11271899544464282
0.48513539632161456,0.03487068175915629,0.02374124526977539,0.002706576063919587,0.8,0.0,0.01,3,100,0.9,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",0.0,0.028397565922920892,0.09944751381215469,0.04261502657835853,0.041825463866496146,583,0.9433962264150944,0.7142857142857143,0.7420634920634921,0.7999151442547668,0.10208825246811987
0.447262446085612,0.032182418189172286,0.019898335138956707,0.0039312216204997205,0.8,0.0,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.0,0.04809619238476954,0.09944751381215469,0.04918123539897474,0.04060652648373724,520,0.954653937947494,0.7195767195767195,0.7026515151515151,0.7922940575585762,0.1150135171943904
0.8924076557159424,0.04678350674670364,0.027202844619750977,0.008093433496449438,0.8,0.0,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.0,0.03146067415730337,0.16260162601626016,0.06468743339118783,0.07041702134509255,350,0.9685230024213075,0.8095238095238095,0.838569880823402,0.872205564256173,0.06913130133066175
0.8982626597086588,0.07487353791408269,0.024610439936319988,0.0028082167692401005,0.8,0.0,0.01,3,200,0.9,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",0.0,0.034653465346534656,0.138996138996139,0.05788320144755788,0.05907451307995626,421,0.9685230024213075,0.8076009501187649,0.8401727861771058,0.872098912905726,0.06946670619913066
0.84235151608785,0.040904747190897914,0.020587444305419922,0.005410457713581811,0.8,0.0,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.014760147601476014,0.03233256351039261,0.1484375,0.06517673703728954,0.05930971498312048,343,0.963855421686747,0.8173076923076923,0.8493449781659389,0.8768360307201261,0.06290669134753987
1.2939519882202148,0.087871817782065,0.02985493342081706,0.0036054036464946908,0.8,0.0,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.0,0.034912718204488775,0.2127659574468085,0.08255955855043243,0.09316653264729119,109,0.9732360097323601,0.918918918918919,0.8906605922551253,0.9276051736354681,0.034266243434177654
1.2839670181274414,0.08435822844101806,0.027851263682047527,0.0044880498072124,0.8,0.0,0.01,3,300,0.9,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",0.0,0.034912718204488775,0.1469387755102041,0.06061716457156429,0.06268061826640371,397,0.9732360097323601,0.9379310344827586,0.8896473265073948,0.9336047902408379,0.03426177931506639
1.1872765223185222,0.04881264628995881,0.027887821197509766,0.00047373093723539553,0.8,0.0,0.01,3,300,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.007407407407407408,0.035175879396984924,0.13709677419354838,0.05989335366598023,0.05575570592639756,405,0.970873786407767,0.9577464788732394,0.8937142857142857,0.9407781836650974,0.0337079557228441
0.8474907875061035,0.1722555088091908,0.02175005276997884,0.003269254351267981,0.8,0.0,0.01,5,100,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.0,0.03932584269662921,0.18181818181818182,0.07371467483827034,0.07810849992997704,238,0.9852216748768473,0.9497206703910615,0.9655172413793104,0.9668198622157398,0.014522464108122786
0.8316474755605062,0.14254768442292853,0.016256252924601238,0.00024139551139533075,0.8,0.0,0.01,5,100,0.9,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.9}",0.0,0.08743169398907104,0.1411764705882353,0.07620272152576878,0.05817941405041201,201,0.9852216748768473,0.9483960948396095,0.964329643296433,0.9659824710042967,0.01507933941620483
0.8014506498972574,0.10175600179568338,0.016672213872273762,0.0009668945145169502,0.8,0.0,0.01,5,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.0,0.08312958435207823,0.1299638989169675,0.07103116108968191,0.05374279883235214,277,0.9852216748768473,0.9353507565337001,0.9584352078239609,0.9596692130781695,0.02037840688609349
